Date / Time,City,State,Shape,Duration,Summary,Posted
8/27/2015 19:00:00,Burdur (Turkey),,Unknown,,Just the photo… ((NUFORC Note: We cannot positively identify the anomalous object in the photo. Possible bird? D)),9/2/2015
8/27/2015 18:10:00,Las Vegas,NV,Rectangle,1 minute,"Was driving towards the freeway in nw Las Vegas, looked out my window and saw a long rectangle light flying horizontal.",9/2/2015
8/27/2015 17:40:00,North Myrtle Beach,SC,Cylinder,3 minutes,Orange lit object in sky.,9/2/2015
8/27/2015 4:00:00,Toms River,NJ,Circle,2 hours,((HOAX??)) Don't know what else it could be.,9/2/2015
8/26/2015 23:00:00,Greensburg,PA,Light,5 minutes,Bright golden reddish light moving in multiple directions - second sighting.,9/2/2015
8/26/2015 23:00:00,Spanish Fort,AL,Fireball,3 seconds,Facing southwest a silent green fireball rapidly fell from the sky.,8/27/2015
8/26/2015 22:45:00,Jeffersonville,KY,Cigar,10 minutes,"Encountered a long craft, with green and red lights, that was low flying.",8/27/2015
8/26/2015 22:00:00,St. Petersburg Beach,FL,Cigar,3 seconds,"I was filming the storm to catch a few seconds if lightning. After posting the video to Facebook for my daughter to see, I rewatched i",8/27/2015
8/26/2015 21:30:00,Lowell,MA,Formation,15 minutes,Light formation over Lowell.,8/27/2015
8/26/2015 21:30:00,Alachua,FL,Unknown,10 seconds,An orange orb appeared from seeming nothingness and slothfully passed over at an interminable speed as if observing.,8/27/2015
8/26/2015 21:00:00,Delmar,MD,Circle,1 minute,"Blue sphere flashing bright at 10 sec. intervals flew over Line Rd, Delmar Del at high rate of speed 30 feet above ground level.",8/27/2015
8/26/2015 21:00:00,St. Petersburg Beach,FL,Fireball,2-3 minutes,Red/Orange flame-like ascending orb offshore Tampa/St. Pete.,8/27/2015
8/26/2015 20:00:00,Carriere,MS,Fireball,45 seconds,Bright orange fireballs moving very fast--at least 8.,8/27/2015
8/26/2015 19:30:00,Kolenchery (India),,Light,,A light travelling and bursting.,9/2/2015
8/26/2015 14:00:00,Orlando,FL,Cigar,3-5 minutes,Black object was moving slowly across the sky and did not look or move like anything I had seen in the sky before,9/2/2015
8/26/2015 7:35:00,Potomac,MD,Oval,3-5 minutes,Bright orb high in morning sky seen moving in and out of clouds.,8/27/2015
8/26/2015 0:01:00,Nashville,TN,Triangle,15 minutes,"About midnight we were driving along Hwy. 40, going E. I noticed a big triangle shape with red flashing lights. We followed it for a",8/27/2015
8/26/2015 0:01:00,Nashville,TN,Triangle,15 minutes,About midnight we were driving along I-40 heading east when my girlfriend pointed out a triangle shaped object that was going e,8/27/2015
8/25/2015 23:40:00,Knoxville,TN,Light,~10 minutes,"Light in the north direction, 40 degrees above horizon, very slowly alternating colors.",8/27/2015
8/25/2015 23:40:00,Portsmouth,NH,Light,>30 minutes,Stationary light.,8/27/2015
8/25/2015 23:00:00,Amarillo,TX,Formation,7 seconds,"I layed down to mess with my dogs outside, as I glance up I notice a odd formation in the sky. At first I figured it was a flock of gee",8/27/2015
8/25/2015 22:45:00,Bradford,PA,Light,2 minutes,Single red light flying over.,8/27/2015
8/25/2015 22:30:00,Lula,GA,Formation,2 minutes,"I happened to look up and saw a line of ufos in a straight line heading from the Cleveland, GA, area toward Gainesville, GA.",8/27/2015
8/25/2015 22:20:00,Calhoun,GA,Formation,15 minutes,"My husband walked outside saw them in the sky and came right back inside to ask my opinion, for 15 minutes we watched this line of ligh",8/27/2015
8/25/2015 22:20:00,Cumming,GA,Chevron,2 minutes,"Six-light, V-shaped, craft.",9/2/2015
8/25/2015 22:00:00,Spotsylvania,VA,Light,20 seconds,"Single steady, bright emerald green light viewed briefly through 10"" telescope and with naked eye.",9/2/2015
8/25/2015 22:00:00,Calhoun,GA,Disk,90 seconds,Large craft with red blinking lights.,8/27/2015
8/25/2015 21:00:00,Woonsocket,RI,Diamond,2 minutes,Flying low no sound lights flash in a diamond shape.moved from side to side then hoverd for a minute then took off,8/27/2015
8/25/2015 20:00:00,Edmond,OK,Fireball,2 minutes,Red and orange pulsing light flying in odd way.,8/27/2015
8/25/2015 14:26:00,Liberty,MO,Fireball,45 seconds,Fiery blue light.,8/27/2015
8/25/2015 11:08:00,Sioux Falls (at UT 33 and Southeastern),SD,Cylinder,<2 minutes,I was riding on Hwy 11 between 41st and 26th when I spotted something weird by the water tower on 28th and Judy. At first I thought it,8/27/2015
8/25/2015 9:45:00,Gainesville,GA,Formation,3 minutes,My sister yelled what is that and pointed up we looked and quickly noticed six or seven red lights.,9/2/2015
8/25/2015 6:45:00,Stewartstown,PA,Circle,unkown,"Round light green ball with lights Northeast of the sunrise. ((NUFORC Note: Lens flare, caused by the Sun. PD))",8/27/2015
8/25/2015 4:38:00,Beaverton,OR,Oval,30 seconds,"Pulsating oval object, amber and green. Every 5 and 3 seconds, then dark; traveling west to east.",8/27/2015
8/25/2015 3:30:00,Orangeburg,NY,Diamond,5-8 seconds,Saw av object flying lower than normal aircraft. It had 4 flashing bright yellow lights on each end,8/27/2015
8/25/2015 2:22:00,Yulee,FL,Circle,4 minutes,"I was on my balcony when I saw what I thought was a large,red, lowest moon. I took a picture of it then I noticed it moving like it was",8/27/2015
8/24/2015 23:35:00,Farmington Hills,MI,Light,3-6 minutes,"2 bright lights, lasting about 2 minutes then disappeared.",8/27/2015
8/24/2015 23:23:00,St. Paul (around),MN,Circle,unknown (I was driving),"Huge circle formed by many lights, appeared to be foggy - not moving. HUGE compared to airplanes at airport.",8/27/2015
8/24/2015 22:07:00,Rosemount,MN,Oval,,2nd day this UFO is sitting in the sky with about 10-12 lights around it shifting side to side. ((NUFORC Note: Adv. lights? PD)),8/27/2015
8/24/2015 21:45:00,Las Vegas,NV,Other,15 seconds,V-shaped object flying without lights and no sound.,8/27/2015
8/24/2015 19:45:00,Raleigh,NC,Oval,8 seconds,White car-shaped blob above cloud hovered and disappeared.,8/27/2015
8/24/2015 18:45:00,Oakley,CA,Fireball,2 minutes,I saw orange lighted object flying west at constant speed; not low birds but not high as planes.,8/27/2015
8/24/2015 17:31:00,Silverton,OR,Sphere,,"Green sphere appears on photos. ((NUFORC Note: Object is a lens flare, caused by photographing the Sun. PD))",8/27/2015
8/24/2015 5:15:00,Salem,NH,Circle,10 minutes,"Round white object in southern NH sky, moved very rapidly and severely, and was visible despite foggy conditions.",8/27/2015
8/24/2015 3:30:00,Alexandria,VA,,15 minutes,Strange humming sound coming from the sky.,8/27/2015
8/24/2015 0:00:00,Racine,WI,Unknown,Ongoing,"Stationary star like object that twinkled green, gold and red but made small fast mauevers then stationary again.",8/27/2015
8/24/2015 0:00:00,Minneapolis,MN,Circle,Minutes,"Minneapolis lights are believed to be from Mystic Lake Casino in Shakopee, MN. ((NUFORC Note: We agree. PD))",8/27/2015
8/23/2015 23:15:00,Port Matilda,PA,Fireball,0:01:30,"((HOAX??)) It was like a fireball hovering, but it disappeared out of thin air.",8/27/2015
8/23/2015 23:12:00,East Haven,CT,Fireball,3 minutes,Fireball looked like plane on fire.,8/27/2015
8/23/2015 22:30:00,Chicago,IL,Light,1 minute,"As I open my front door, I noticed a soundless amber light streaking through the scarcely clouded night sky coming my direction.",8/27/2015
8/23/2015 22:00:00,Port Angeles,WA,Circle,30 seconds,"Moving light, violent explosion.",8/27/2015
8/23/2015 21:20:00,Pomona,CA,Light,2 minutes,A bright object zigzagged across the sky.,8/27/2015
8/23/2015 21:08:00,Wildwood Crest,NJ,Diamond,2 minutes,"Hovering red light, Wildwood Crest, NJ.",8/27/2015
8/23/2015 21:00:00,Gaylord,MI,Circle,10 minutes,Large craft over field--2 witnesses.,8/27/2015
8/23/2015 21:00:00,El Monte,CA,Other,3 seconds,White flashes when a satellite passed above the horizon.,8/27/2015
8/23/2015 20:40:00,Brandon,FL,Sphere,40-45 seconds,Orange sphere hovering outside window.,8/27/2015
8/23/2015 20:30:00,Jackson,NJ,Fireball,3 hours,"Large orange light would move across the sky, get to a certain point and then vanish- happened 12 different times, same flight path.",8/27/2015
8/23/2015 20:09:00,Lavallette,NJ,Flash,4 seconds,"Light moving horizonally pulsing and level, no arc. No sound.",8/27/2015
8/23/2015 20:00:00,Merritt Island,FL,Circle,2 hours,Small round object that went from three green lights to three red lights very quickly.,8/27/2015
8/23/2015 5:00:00,Culver City,CA,Triangle,35 minutes,"Triangular object hovering moving slightly, bright white lights with three distinct lights at the corners of the triangle.",8/27/2015
8/23/2015 3:30:00,Paradise Valley,AZ,Sphere,5-10 minutes,"Bright flash, then round ball moves slowly across sky, does quick button hook, followed by 180 degree turn, heads NE, disappears.",8/27/2015
8/23/2015 3:00:00,Thornton,CO,Fireball,1 minute,Fireball went into a bright yellow streak that formed a line from east to west and dissappeared,8/27/2015
8/23/2015 0:15:00,Kenmore,NY,Egg,3 minutes,Two orange objects over niagra frontier,8/27/2015
8/23/2015 0:00:00,Rochester,NY,Cross,45 minutes,Seen 2 orange orbs passing NE to N each dropped 3 small bright objects then later I used a telescope because I seen 2 bright stars that,8/27/2015
8/22/2015 23:45:00,Crestwood,IL,Fireball,1 minute,Fireballs over Illinois.,8/27/2015
8/22/2015 23:40:00,Holiday,FL,Disk,2-3 minutes,Strange Bright Orange Fiery Glow over Tarpon Springs area.,8/27/2015
8/22/2015 23:15:00,Gardnerville,NV,Unknown,24:00:00,West of Tahoe what looked like bright star i/we can see red and green lights alternating.Grabed binoculars and can kinda see its white,8/27/2015
8/22/2015 23:00:00,Ashland,NH,Oval,1 minute,2 orange brightly shining oval objects much bigger than a star or planet moving together in the same direction slowly then changed dire,8/27/2015
8/22/2015 22:50:00,Butte,AK,Light,15 seconds,Star-like object flying over Butte,8/27/2015
8/22/2015 22:30:00,Harrisburg,NC,Formation,<1 minute,I thought they were stars until I noticed they were moving in formation. ((NUFORC Note: Possibly satellites? PD)),8/27/2015
8/22/2015 22:15:00,Macomb Township,MI,Triangle,5-10 minutes,3 equally sided UFO with orange lights with two white lighted crafts next to it.,8/27/2015
8/22/2015 22:12:00,New York City,NY,Circle,20 minutes,Orange orbs of light popping out of nowhere!,8/27/2015
8/22/2015 22:00:00,Lynchburg,OH,Fireball,10 minutes,"A floating fireball, like a floating campfire in sky, floating above house outside of Lynchburg, Ohio",8/27/2015
8/22/2015 22:00:00,Gaithersburg,MD,Unknown,2 minutes,"Red flashing light, two green lights on either side.",8/27/2015
8/22/2015 21:58:00,Slatington,PA,Light,1 minute,Lights moving in erratic behavior by Old Post Road.,8/27/2015
8/22/2015 21:55:00,Sedalia,MO,Chevron,~6 minutes,UFO hovering nearby Missouri State Fair.,8/27/2015
8/22/2015 21:50:00,Muncy,PA,Light,3-5 minutes,It was a clear night with a crescent moon with a clear view of the stars.,8/27/2015
8/22/2015 21:50:00,North Salem,NH,Unknown,1.25 minutes,Extremely bright orange light traveling across the night sky.,8/27/2015
8/22/2015 21:20:00,New York City (Brooklyn),NY,Light,60 seconds,"UFO over Brooklyn, Dyker Heights -Bensonhurst 8/22/15, approx 9:20PM EST, reddish light, no strobe or flash and in 30 -45 seconds trave",8/27/2015
8/22/2015 21:00:00,Williamsport,PA,Light,2 minutes,"4 reddish orange feiry objects spotted moving over Williamsport, PA, then disappeared.",8/27/2015
8/22/2015 21:00:00,Baldwin Borough,PA,Light,5 minutes,A string of five orange lights flying equidistant from each other over Pittsburgh.,8/27/2015
8/22/2015 21:00:00,Wasaga Beach (Canada),ON,Triangle,5-6 minutes,V-shaped object adorned with static red lights crossed sky before suddenly disappearing.,8/27/2015
8/22/2015 21:00:00,Delaware,OH,Oval,15 minutes,Orange-white lights move over tree line and then disappear into sky,8/27/2015
8/22/2015 21:00:00,Dover,NH,Light,15,Cluster of red lights.,8/27/2015
8/22/2015 20:35:00,Mechanicsburg,PA,Sphere,5-7 seconds,"Witness1- we were driving Eastbourne on rt 944 when out of the corner of my eye I saw a redish,pinkish,orangish sphere floating in the",8/27/2015
8/22/2015 20:30:00,Kaukauna,WI,Unknown,Intermittent,"Loud, booming, rumbling coming from the sky",8/27/2015
8/22/2015 20:20:00,Alexandria,VA,Light,5-7 minutes,Thought it was a star next to the moon until it started to move.,8/27/2015
8/22/2015 19:00:00,Smyrna,DE,Triangle,20 minutes,Very bright Triangle/U shaped light.,8/27/2015
8/22/2015 17:00:00,Brooklyn Park,MN,Unknown,30-40 seconds,Strange black/silver object seen flying in front of storm.,8/27/2015
8/22/2015 16:45:00,Fallston,MD,Cylinder,3 minutes,"One large, cylinder observed for several minutes moving erratically around the sky and then just shot away and disappeared.",8/27/2015
8/22/2015 15:00:00,Anchorage,AK,Rectangle,>5 minutes,"Yesterday p.m., it was very clear in the sky over Anchorage, AK. I was just going to try to ignore what I saw.",8/27/2015
8/22/2015 14:00:00,South Gate,CA,Other,7 minutes,Red Orb flyby at UFO Sighting Event in Los Angeles,8/27/2015
8/22/2015 4:00:00,Wyocena,WI,,20 minutes,Lights with noise. No actual object seen.,8/27/2015
8/22/2015 2:45:00,Warsaw,KY,Circle,30 minutes,Dancing white lights.,8/27/2015
8/22/2015 2:00:00,Newport,OR,Disk,40 minutes,"Flying disk and unidentified life forms seen in Newport, Oregon.",9/2/2015
8/22/2015 1:05:00,Lake Tapps,WA,Flash,1 second,Bright Blueish Green smoking flash lit up the western skies for a second without any sounds or noise.,8/27/2015
8/22/2015 0:38:00,Glenarm,IL,Triangle,60 seconds,Brighter Mars red lights horizontal to ground.,8/27/2015
8/22/2015,New York City (Manhattan),NY,Circle,15 minutes,"My daughter and I were watching TV and I notices from the window a bright orange light, I wondered what it could be so bright then I sa",9/2/2015
8/21/2015 23:45:00,Keokuk,IA,Triangle,3-5 hours,"Triangle UFO, two airplanes, other UFO, two trails away from triangle UFO",8/27/2015
